doornumber,carbody,cylindernumber,enginesize,horsepower,price
2,4,4,130,111,13495
2,4,4,130,111,16500
2,2,6,152,154,16500
4,1,4,109,102,13950
4,1,5,136,115,17450
2,1,5,136,110,15250
4,1,5,136,110,17710
4,3,5,136,110,18920
4,1,5,131,140,23875
2,2,5,131,160,17859.167
2,1,4,108,101,16430
4,1,4,108,101,16925
2,1,6,164,121,20970
4,1,6,164,121,21105
4,1,6,164,121,24565
4,1,6,209,182,30760
2,1,6,209,182,41315
4,1,6,209,182,36880
2,2,3,61,48,5151
2,2,4,90,70,6295
4,1,4,90,70,6575
2,2,4,90,68,5572
2,2,4,90,68,6377
2,2,4,98,102,7957
4,2,4,90,68,6229
4,1,4,90,68,6692
4,1,4,90,68,7609
2,1,4,98,102,8558
4,3,4,122,88,8921
2,2,4,156,145,12964
2,2,4,92,58,6479
2,2,4,92,76,6855
2,2,4,79,60,5399
2,2,4,92,76,6529
2,2,4,92,76,7129
4,1,4,92,76,7295
4,3,4,92,76,7295
2,2,4,110,86,7895
2,2,4,110,86,9095
4,1,4,110,86,8845
4,1,4,110,86,10295
4,1,4,110,101,12945
2,1,4,110,100,10345
4,1,4,111,78,6785
2,1,4,90,70,8916.5
4,1,4,90,70,8916.5
2,2,4,119,90,11048
4,1,6,258,176,32250
4,1,6,258,176,35550
2,1,12,326,262,36000
2,2,4,91,68,5195
2,2,4,91,68,6095
2,2,4,91,68,6795
4,1,4,91,68,6695
4,1,4,91,68,7395
2,2,2,70,101,10945
2,2,2,70,101,11845
2,2,2,70,101,13645
2,2,2,80,135,15645
2,2,4,122,84,8845
4,1,4,122,84,8495
2,2,4,122,84,10595
4,1,4,122,84,10245
4,1,4,122,64,10795
4,2,4,122,84,11245
4,1,4,140,120,18280
4,1,4,134,72,18344
4,1,5,183,123,25552
4,3,5,183,123,28248
2,5,5,183,123,28176
4,1,5,183,123,31600
4,1,8,234,155,34184
2,4,8,234,155,35056
4,1,8,308,184,40960
2,5,8,304,184,45400
2,2,4,140,175,16503
2,2,4,92,68,5389
2,2,4,92,68,6189
2,2,4,92,68,6669
2,2,4,98,102,7689
2,2,4,110,116,9959
2,2,4,122,88,8499
2,2,4,156,145,12629
2,2,4,156,145,14869
2,2,4,156,145,14489
4,1,4,122,88,6989
4,1,4,122,88,8189
4,1,4,110,116,9279
4,1,4,110,116,9279
2,1,4,97,69,5499
2,1,4,103,55,7099
2,1,4,97,69,6649
4,1,4,97,69,6849
4,3,4,97,69,7349
2,1,4,97,69,7299
2,2,4,97,69,7799
4,1,4,97,69,7499
4,3,4,97,69,7999
2,5,4,97,69,8249
4,2,4,120,97,8949
4,1,4,120,97,9549
4,1,6,181,152,13499
4,3,6,181,152,14399
4,1,6,181,152,13499
2,2,6,181,160,17199
2,2,6,181,200,19699
2,2,6,181,160,18399
4,1,4,120,97,11900
4,1,4,152,95,13200
4,3,4,120,97,12440
4,3,4,152,95,13860
4,1,4,120,95,15580
4,1,4,152,95,16900
4,3,4,120,95,16695
4,3,4,152,95,17075
4,1,4,120,97,16630
4,1,4,152,95,17950
4,1,4,134,142,18150
2,2,4,90,68,5572
2,2,4,98,102,7957
4,2,4,90,68,6229
4,1,4,90,68,6692
4,1,4,98,68,7609
4,3,4,122,88,8921
2,2,4,156,145,12764
2,2,4,151,143,22018
2,5,6,194,207,32528
2,5,6,194,207,34028
2,4,6,194,207,37028
2,2,8,203,288,31400.5
4,3,4,132,90,9295
2,2,4,132,90,9895
2,2,4,121,110,11850
4,1,4,121,110,12170
2,2,4,121,110,15040
4,1,4,121,110,15510
2,2,4,121,160,18150
4,1,4,121,160,18620
2,2,4,97,69,5118
2,2,4,108,73,7053
2,2,4,108,73,7603
4,1,4,108,82,7126
4,1,4,108,82,7775
4,1,4,108,94,9960
4,1,4,108,82,9233
4,1,4,108,111,11259
4,3,4,108,82,7463
4,3,4,108,94,10198
4,3,4,108,82,8013
4,3,4,108,111,11694
2,2,4,92,62,5348
2,2,4,92,62,6338
4,2,4,92,62,6488
4,3,4,92,62,6918
4,3,4,92,62,7898
4,3,4,92,62,8778
4,1,4,98,70,6938
4,2,4,98,70,7198
4,1,4,110,56,7898
4,2,4,110,56,7788
4,1,4,98,70,7738
4,2,4,98,70,8358
4,1,4,98,70,9258
2,1,4,98,70,8058
2,2,4,98,70,8238
2,1,4,98,112,9298
2,2,4,98,112,9538
2,5,4,146,116,8449
2,5,4,146,116,9639
2,2,4,146,116,9989
2,5,4,146,116,11199
2,2,4,146,116,11549
2,4,4,146,116,17669
4,1,4,122,92,8948
4,1,4,110,73,10698
4,2,4,122,92,9988
4,1,4,122,92,10898
4,2,4,122,92,11248
2,2,6,171,161,16558
2,2,6,171,161,15998
4,1,6,171,156,15690
4,3,6,161,156,15750
2,1,4,97,52,7775
2,1,4,109,85,7975
4,1,4,97,52,7995
4,1,4,109,85,8195
4,1,4,109,85,8495
4,1,4,97,68,9495
4,1,4,109,100,9995
2,4,4,109,90,11595
2,2,4,109,90,9980
4,1,5,136,110,13295
4,1,4,97,68,13845
4,3,4,109,88,12290
4,1,4,141,114,12940
4,3,4,141,114,13415
4,1,4,141,114,15985
4,3,4,141,114,16515
4,1,4,130,162,18420
4,3,4,130,162,18950
4,1,4,141,114,16845
4,1,4,141,160,19045
4,1,6,173,134,21485
4,1,6,145,106,22470
4,1,4,141,114,22625
